              component smsmass1 smsmass2 htbin njetbin mhtbin   xi   n nvar
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    400 0.75   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    400  0.8   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    400 0.85   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    400  0.9   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    400 0.95   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    400  1.0   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    400 1.05   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    400  1.1   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    400 1.15   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       3    400  1.2   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    130    0   2    2
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    130 0.05   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    130  0.1   2    2
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    130 0.15   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    130  0.2   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    130 0.25   2    2
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    130  0.3   2    2
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    130 0.35   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    130  0.4   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    130 0.45   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    130  0.5   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    130 0.55   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    130  0.6   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    130 0.65   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    130  0.7   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    130 0.75   2    2
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    130  0.8   4    4
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    130 0.85   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    130  0.9   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    130 0.95   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    130  1.0   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    130 1.05   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    130  1.1   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200    0   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200 0.05   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200  0.1   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200 0.15   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200  0.2   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200 0.25   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200  0.3   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200 0.35   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200  0.4   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200 0.45   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200  0.5   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200 0.55   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200  0.6   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200 0.65   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200  0.7   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200 0.75   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200  0.8   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200 0.85   3    3
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200  0.9   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200 0.95   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200  1.0   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200 1.05   1    1
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200  1.1   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200 1.15   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    200  1.2   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    400  0.1   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    400 0.35   0    0
 SMS_T1tttt_madgraphMLM     1300     1050   200       6    400 0.45   0    0
